epoch,train_loss,val_recall,val_mrr
0,0.6509401619772844,0.6226415094339622,0.3248989218328841
0,0.6512880340087764,0.6415094339622641,0.3186133572926025
0,0.6523316501032524,0.6320754716981132,0.2998764600179694
0,0.6522237593572535,0.6886792452830188,0.3189315663372267
0,0.654776837570986,0.6320754716981132,0.32589847259658583
1,0.43583626419721216,0.6132075471698113,0.2797806229410003
0,0.652674161332381,0.6698113207547169,0.3348083258460617
0,0.6712800884099123,0.46226415094339623,0.1850591494459419
0,0.671863404265617,0.44339622641509435,0.15985324947589097
1,0.4594839999032008,0.6132075471698113,0.28414570230607966
2,0.4109820679530201,0.5566037735849056,0.21866576819407
3,0.40165304756066084,0.5283018867924528,0.18462488769092544
4,0.3974392585183273,0.4716981132075472,0.12724618149146452
